STOCK_CODES,PRODUCT,DATE,Wk,Week_Number,SOH,FLOORS,WEEKLY SALES,AVG_WK_SALES ,Range,Loft_Category,Group 1,Group 2
KO0079851           ,KOTE ZIG ZAG 120X30X180 ,17-Aug,12,34,0,20,0,4.08,Kote,Bookshelf,WLST,SHFU
KO0079852           ,KOTE ZIG ZAG 60X30X180   ,17-Aug,12,34,0,13,2,1.42,Kote,Bookshelf,WLST,SHFU
KO0083534           ,KOTE ZIG ZAG 120X30X110                 ,17-Aug,12,34,0,5,3,1,Kote,Bookshelf,WLST,SHFU
KO0079855           ,KOTE ZIG ZAG 120X30X75                  ,17-Aug,12,34,0,3,2,2.08,Kote,Bookshelf,WLST,SHFU
KO0079853           ,KOTE ZIG ZAG 60X30X110                  ,17-Aug,12,34,19,6,1,0.67,Kote,Bookshelf,WLST,SHFU
KO0079854           ,KOTE ZIG ZAG 60X30X75                   ,17-Aug,12,34,0,7,2,1,Kote,Bookshelf,WLST,SHFU
BE0224719           ,BENDALONG STOOL BLACK                   ,17-Aug,12,34,0,16,7,6.92,Bendy,Low Stool,DINE,BARS
JU0224714           ,JUDGES TRACTOR LOW STOOL BLACK          ,17-Aug,12,34,0,0,0,0,Judges,Bar Stool,DINE,BARS
JU0224715           ,JUDGES TRACTOR LOW STOOL WHITE          ,17-Aug,12,34,0,0,0,0,Judges,Bar Stool,DINE,BARS
JU0210222           ,JUDGES TRACTOR STOOL BLACK              ,17-Aug,12,34,17,24,28,26,Judges,Bar Stool,DINE,BARS
JU0210223           ,JUDGES TRACTOR STOOL WHITE              ,17-Aug,12,34,73,23,7,12.42,Judges,Bar Stool,DINE,BARS
JU0224713           ,JUDGES TRACTOR STOOL WHITEWASH,17-Aug,12,34,0,0,2,0,Judges,Bar Stool,DINE,BARS
AL0235274           ,ALESSIO CABINET,17-Aug,12,34,0,9,0,0.75,Alessio,Buffet,WLST,CBNT
MA0234040           ,MADE BUFFET,17-Aug,12,34,0,17,1,1.67,Made,Buffet,BUFT,BUFT
MA0235273           ,MADRID BUFFET   ,17-Aug,12,34,0,13,2,2.58,Madrid,Buffet,BUFT,BUFT
MA0234030           ,MARWAN DINING 200          ,17-Aug,12,34,0,12,1,3.75,Marwan,Dining Table,DINE,TBLE
MA0234031           ,MARWAN DINING 180 ,17-Aug,12,34,0,0,1,1.83,Marwan,Dining Table,DINE,TBLE
MA0234032           ,MARWAN DINING 160 ,17-Aug,12,34,0,0,2,1.08,Marwan,Dining Table,DINE,TBLE
MA0234035           ,MARWAN BENCH 190,17-Aug,12,34,0,14,3,2.33,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 170 ,17-Aug,12,34,0,0,1,0.75,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 150,17-Aug,12,34,0,0,0,0.42,Marwan,Bench Seat,DINE,CHR 
MA0234038           ,MARWAN COFFEE TABLE    ,17-Aug,12,34,0,14,0,1.83,Marwan,Coffee Table,DINE,CHR 
MA0234037           ,MARWAN BUFFET   ,17-Aug,12,34,0,17,0,1.67,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,17-Aug,12,34,0,16,1,1.33,Marwan,ETU,ENTU,ENTU
MA0234039           ,MARWAN ZIG ZAG SHELF     ,17-Aug,12,34,0,11,2,1.25,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,17-Aug,12,34,0,0,0,0.08,Marwan,Console,OCCL,CONT
ST0224720           ,STOLTZ STOOL,17-Aug,12,34,0,1,0,2.42,Stolz,Low stool,DINE,BARS
KO0079851           ,KOTE ZIG ZAG 120X30X180 ,10-Aug,11,33,2,20,1,4.08,Kote,Bookshelf,WLST,SHFU
KO0079852           ,KOTE ZIG ZAG 60X30X180   ,10-Aug,11,33,0,13,-1,1.25,Kote,Bookshelf,WLST,SHFU
KO0083534           ,KOTE ZIG ZAG 120X30X110                 ,10-Aug,11,33,0,4,5,1,Kote,Bookshelf,WLST,SHFU
KO0079855           ,KOTE ZIG ZAG 120X30X75                  ,10-Aug,11,33,0,4,1,1,Kote,Bookshelf,WLST,SHFU
KO0079853           ,KOTE ZIG ZAG 60X30X110                  ,10-Aug,11,33,20,6,0,0.58,Kote,Bookshelf,WLST,SHFU
KO0079854           ,KOTE ZIG ZAG 60X30X75                   ,10-Aug,11,33,0,4,2,1,Kote,Bookshelf,WLST,SHFU
BE0224719           ,BENDALONG STOOL BLACK                   ,10-Aug,11,33,0,17,0,6.67,Bendy,Low Stool,DINE,BARS
JU0224714           ,JUDGES TRACTOR LOW STOOL BLACK          ,10-Aug,11,33,0,0,0,0,Judges,Bar Stool,DINE,BARS
JU0224715           ,JUDGES TRACTOR LOW STOOL WHITE          ,10-Aug,11,33,0,0,0,0,Judges,Bar Stool,DINE,BARS
JU0210222           ,JUDGES TRACTOR STOOL BLACK              ,10-Aug,11,33,46,25,25,25.67,Judges,Bar Stool,DINE,BARS
JU0210223           ,JUDGES TRACTOR STOOL WHITE              ,10-Aug,11,33,81,23,19,12.5,Judges,Bar Stool,DINE,BARS
JU0224713           ,JUDGES TRACTOR STOOL WHITEWASH,10-Aug,11,33,0,0,2,0,Judges,Bar Stool,DINE,BARS
AL0235274           ,ALESSIO CABINET,10-Aug,11,33,0,9,0,0.75,Alessio,Buffet,WLST,CBNT
MA0234040           ,MADE BUFFET,10-Aug,11,33,0,17,1,1.75,Made,Buffet,BUFT,BUFT
MA0235273           ,MADRID BUFFET   ,10-Aug,11,33,0,13,2,2.5,Madrid,Buffet,BUFT,BUFT
MA0234030           ,MARWAN DINING 200          ,10-Aug,11,33,0,12,5,4.42,Marwan,Dining Table,DINE,TBLE
MA0234031           ,MARWAN DINING 180 ,10-Aug,11,33,0,0,0,1.75,Marwan,Dining Table,DINE,TBLE
MA0234032           ,MARWAN DINING 160 ,10-Aug,11,33,0,0,2,0.92,Marwan,Dining Table,DINE,TBLE
MA0234035           ,MARWAN BENCH 190,10-Aug,11,33,0,15,5,2.58,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 170 ,10-Aug,11,33,0,0,0,0.67,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 150,10-Aug,11,33,0,0,1,0.42,Marwan,Bench Seat,DINE,CHR 
MA0234038           ,MARWAN COFFEE TABLE    ,10-Aug,11,33,0,14,0,2,Marwan,Coffee Table,DINE,CHR 
MA0234037           ,MARWAN BUFFET   ,10-Aug,11,33,0,17,2,1.75,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,10-Aug,11,33,0,15,4,1.25,Marwan,ETU,ENTU,ENTU
MA0234039           ,MARWAN ZIG ZAG SHELF     ,10-Aug,11,33,0,11,2,1.08,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,10-Aug,11,33,0,0,0,0.08,Marwan,Console,OCCL,CONT
ST0224720           ,STOLTZ STOOL,10-Aug,11,33,0,1,2,3.17,Stolz,Low stool,DINE,BARS
KO0079851           ,KOTE ZIG ZAG 120X30X180 ,4-Aug,10,32,9,18,2,4.25,Kote,Bookshelf,WLST,SHFU
KO0079852           ,KOTE ZIG ZAG 60X30X180   ,4-Aug,10,32,1,12,0,1.33,Kote,Bookshelf,WLST,SHFU
KO0083534           ,KOTE ZIG ZAG 120X30X110                 ,4-Aug,10,32,0,5,0,0.92,Kote,Bookshelf,WLST,SHFU
KO0079855           ,KOTE ZIG ZAG 120X30X75                  ,4-Aug,10,32,5,4,1,1.42,Kote,Bookshelf,WLST,SHFU
KO0079853           ,KOTE ZIG ZAG 60X30X110                  ,4-Aug,10,32,20,6,1,0.58,Kote,Bookshelf,WLST,SHFU
KO0079854           ,KOTE ZIG ZAG 60X30X75                   ,4-Aug,10,32,4,8,0,0.75,Kote,Bookshelf,WLST,SHFU
BE0224719           ,BENDALONG STOOL BLACK                   ,4-Aug,10,32,0,17,0,8.42,Bendy,Low Stool,DINE,BARS
JU0224714           ,JUDGES TRACTOR LOW STOOL BLACK          ,4-Aug,10,32,0,0,0,0,Judges,Bar Stool,DINE,BARS
JU0224715           ,JUDGES TRACTOR LOW STOOL WHITE          ,4-Aug,10,32,0,0,3,,Judges,Bar Stool,DINE,BARS
JU0210222           ,JUDGES TRACTOR STOOL BLACK              ,4-Aug,10,32,91,25,0,25.08,Judges,Bar Stool,DINE,BARS
JU0210223           ,JUDGES TRACTOR STOOL WHITE              ,4-Aug,10,32,98,25,1,11.42,Judges,Bar Stool,DINE,BARS
JU0224713           ,JUDGES TRACTOR STOOL WHITEWASH,4-Aug,10,32,0,0,1,0,Judges,Bar Stool,DINE,BARS
AL0235274           ,ALESSIO CABINET,4-Aug,10,32,0,9,0,0.58,Alessio,Buffet,WLST,CBNT
MA0234040           ,MADE BUFFET,4-Aug,10,32,0,14,0,2.17,Made,Buffet,BUFT,BUFT
MA0235273           ,MADRID BUFFET   ,4-Aug,10,32,0,18,3,1.67,Madrid,Buffet,BUFT,BUFT
MA0234030           ,MARWAN DINING 200          ,4-Aug,10,32,0,11,1,4.33,Marwan,Dining Table,DINE,TBLE
MA0234031           ,MARWAN DINING 180 ,4-Aug,10,32,0,0,11,0.75,Marwan,Dining Table,DINE,TBLE
MA0234032           ,MARWAN DINING 160 ,4-Aug,10,32,0,0,0,0.75,Marwan,Dining Table,DINE,TBLE
MA0234035           ,MARWAN BENCH 190,4-Aug,10,32,0,14,2,2.33,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 170 ,4-Aug,10,32,0,0,21,0.67,Marwan,Bench Seat,DINE,CHR 
MA0239221           ,MARWAN BENCH 150,4-Aug,10,32,0,0,4,0.25,Marwan,Bench Seat,DINE,CHR 
MA0234038           ,MARWAN COFFEE TABLE    ,4-Aug,10,32,0,13,6,2.42,Marwan,Coffee Table,DINE,CHR 
MA0234037           ,MARWAN BUFFET   ,4-Aug,10,32,0,14,2,2.17,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,4-Aug,10,32,2,15,0,0.83,Marwan,ETU,ENTU,ENTU
MA0234039           ,`,4-Aug,10,32,0,11,0,1.17,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,4-Aug,10,32,0,0,0,0.08,Marwan,Console,OCCL,CONT
